norf_id	tsc_id	tsc_chrom	tsc_start	tsc_end	Transcript.type
io5aH6	ENST00000406892	chr19	12098431	12138009	antisense
1vi6H1	ENST00000406997	chr1	39769965	39770570	processed_pseudogene
3knpH7	ENST00000409139	chr2	87754947	87906324	lincRNA
gdgiH1	ENST00000411560	chr15	43891589	43897099	processed_transcript
jetaH5	ENST00000411646	chr20	18548063	18550207	lincRNA
jtnsH1	ENST00000411998	chr21	34636177	34638565	antisense
d3uqH1	ENST00000412054	chr10	87468516	87468924	processed_pseudogene
4lppH2	ENST00000412297	chr2	63272310	63273744	antisense
krwwH1	ENST00000412436	chrX	154576449	154581271	antisense
300gH1	ENST00000412483	chr1	234348351	234350834	antisense
5ey2H1	ENST00000412556	chr2	231589857	231590118	processed_pseudogene
dkjeH1	ENST00000412744	chr10	116261755	116262106	processed_pseudogene
1y8nH2	ENST00000412769	chr1	48901638	48902895	processed_pseudogene
hglvH5	ENST00000413077	chr17	5015226	5017672	antisense
hq6iH1	ENST00000413334	chr17	73334907	73335228	processed_pseudogene
kegsH1	ENST00000413508	chrX	73289110	73290667	processed_pseudogene
2wuaH1	ENST00000413568	chr1	222814755	222815200	processed_pseudogene
3p0uH3	ENST00000413904	chr2	122407373	122409111	antisense
4vfkH1	ENST00000413962	chr2	135624887	135676248	antisense
4mvyH2	ENST00000414141	chr2	70351167	70352449	lincRNA
bjlzH1	ENST00000414227	chr7	91829327	91836171	sense_overlapping
cyseH8	ENST00000414457	chr10	29698486	29772847	antisense
3p0uH2	ENST00000414554	chr2	122407225	122409111	antisense
a5huH1	ENST00000414949	chr6	24976646	24977210	processed_pseudogene
johqH1	ENST00000415187	chr20	49457151	49457286	processed_pseudogene
d49oH1	ENST00000415212	chr10	89578181	89578838	processed_transcript
cycoH1	ENST00000415292	chr10	23425852	23426590	processed_pseudogene
0jijH1	ENST00000415336	chr1	55352547	55353674	antisense
8s7tH1	ENST00000415825	chr5	64959945	64960593	retained_intron
d2m6H4	ENST00000416076	chr10	75764894	75787673	sense_intronic
4afsH1	ENST00000416103	chr2	243037044	243061208	transcribed_unprocessed_pseudogene
2vkwH1	ENST00000416139	chr1	212482392	212482860	processed_pseudogene
2zwgH2	ENST00000416221	chr1	231658133	231664302	antisense
b9x0H1	ENST00000416393	chr7	111051432	111051939	processed_pseudogene
kjrxH1	ENST00000416765	chrX	28677181	28677586	processed_pseudogene
09soH6	ENST00000416769	chr1	22352026	22357716	lincRNA
afayH1	ENST00000417134	chr6	111179441	111180350	processed_pseudogene
jxfcH2	ENST00000417343	chr22	35796134	35806001	processed_transcript
dbdbH1	ENST00000417351	chr10	131904272	131907095	processed_pseudogene
ji52H8	ENST00000417721	chr20	47894714	47905797	antisense
1hxlH1	ENST00000417786	chr1	246769174	246771404	sense_intronic
kehgH1	ENST00000418231	chrX	73340846	73351758	processed_pseudogene
2sewH2	ENST00000418613	chr1	197657889	197659757	unprocessed_pseudogene
5qg7H6	ENST00000419046	chr3	50388303	50390824	processed_transcript
jwnbH10	ENST00000419253	chr22	28315388	28382380	antisense
ckcdH2	ENST00000419300	chr9	132251378	132274958	lincRNA
eiefH2	ENST00000419440	chr11	131747573	131767002	antisense
6cjkH1	ENST00000419571	chr3	194305027	194310978	antisense
inadH7	ENST00000419608	chr19	9251104	9268386	retained_intron
d9hcH1	ENST00000419975	chr10	107446079	107446809	processed_pseudogene
1pddH5	ENST00000420703	chr1	21330042	21330427	processed_pseudogene
4kulH1	ENST00000420918	chr2	61368731	61372085	lincRNA
0lwpH1	ENST00000420977	chr1	77165473	77166223	processed_pseudogene
ajdsH3	ENST00000420981	chr6	2855159	2876744	lincRNA
9mnzH1	ENST00000421004	chr5	77654624	77656331	lincRNA
jlbdH1	ENST00000421090	chr20	21468881	21469263	processed_pseudogene
klvbH1	ENST00000421129	chrX	56763674	56764010	processed_pseudogene
7zg0H1	ENST00000421246	chr4	22728997	22729573	processed_pseudogene
5kvkH1	ENST00000421404	chr3	18580164	18581391	processed_pseudogene
6y3oH1	ENST00000421542	chr3	128483308	128483860	processed_pseudogene
kcdoH1	ENST00000421685	chrX	46404927	46407843	lincRNA
1nddH1	ENST00000422124	chr1	17215032	17215868	lincRNA
ayjlH1	ENST00000422825	chr7	5886952	5893996	processed_transcript
303cH1	ENST00000422958	chr1	234492449	234492887	processed_pseudogene
d272H1	ENST00000422977	chr10	75255282	75256536	antisense
hvlrH3	ENST00000423323	chr17	13679950	13695867	antisense
3j8nH1	ENST00000423477	chr2	74375165	74377188	antisense
29u4H1	ENST00000424043	chr1	92580359	92581353	processed_pseudogene
fmeuH1	ENST00000424051	chr13	47011528	47012123	processed_pseudogene
dejbH1	ENST00000424552	chr10	46221141	46221486	processed_pseudogene
ivl5H2	ENST00000424846	chr19	53935236	53947923	processed_transcript
1uswH2	ENST00000424989	chr1	37920479	37940012	antisense
hfwyH3	ENST00000425081	chr17	1420224	1421390	antisense
1gjrH2	ENST00000425104	chr1	234492751	234501574	antisense
bjuuH1	ENST00000425207	chr7	93299137	93299389	processed_pseudogene
ffjwH1	ENST00000425504	chr13	29880914	29881922	processed_pseudogene
dgymH1	ENST00000425565	chr10	86148925	86149382	processed_pseudogene
ciswH1	ENST00000425592	chr9	125524122	125524512	processed_pseudogene
ccuqH1	ENST00000426311	chr9	8713310	8713721	processed_pseudogene
kpbxH1	ENST00000426367	chrX	123093082	123095191	lincRNA
k0m9H1	ENST00000426483	chr22	18559292	18560563	antisense
cyseH7	ENST00000427063	chr10	29698500	29711301	antisense
jdxmH1	ENST00000427242	chr20	4004563	4005091	processed_pseudogene
bbg5H3	ENST00000427253	chr7	130927348	130927754	processed_pseudogene
2tqbH1	ENST00000427282	chr1	203804712	203805040	processed_pseudogene
4a7iH1	ENST00000427818	chr2	242417730	242418408	processed_pseudogene
1bkdH1	ENST00000428027	chr1	206702247	206703039	processed_pseudogene
edrvH1	ENST00000428553	chr11	74456760	74457159	processed_pseudogene
jwnbH9	ENST00000428818	chr22	28315444	28320951	antisense
ejysH2	ENST00000429127	chr12	8167619	8169002	processed_pseudogene
gdmqH6	ENST00000429162	chr15	44580935	44600734	processed_transcript
3y9mH1	ENST00000429216	chr2	201927811	201928774	processed_pseudogene
0iakH2	ENST00000429328	chr1	47644921	47646011	antisense
2sxqH1	ENST00000429443	chr1	201692421	201706634	antisense
4ecmH1	ENST00000429717	chr2	24422707	24424567	antisense
3eboH1	ENST00000429825	chr2	44497759	44498245	processed_pseudogene
2tj0H4	ENST00000430114	chr1	202827055	202830748	processed_transcript
dk8mH1	ENST00000430133	chr10	112696379	112696991	processed_pseudogene
7l4dH1	ENST00000430198	chr4	73964538	73964862	processed_pseudogene
juvvH1	ENST00000430259	chr21	47671725	47674047	antisense
0betH2	ENST00000430291	chr1	27092760	27094492	retained_intron
3yw2H1	ENST00000431098	chr2	204055502	204056000	processed_pseudogene
gikwH1	ENST00000431116	chr15	93255037	93255340	processed_pseudogene
io0pH1	ENST00000431363	chr19	11759178	11763692	transcribed_unprocessed_pseudogene
ctc1H2	ENST00000431607	chr9	119942906	119943374	processed_pseudogene
ioafH2	ENST00000431702	chr19	12670384	12671919	processed_pseudogene
ioafH1	ENST00000431702	chr19	12670384	12671919	processed_pseudogene
3oabH1	ENST00000431844	chr2	113993116	113993934	antisense
5bxfH1	ENST00000431856	chr2	217352526	217363473	retained_intron
cl4uH2	ENST00000432807	chr9	136890616	136893224	antisense
b2yhH1	ENST00000433217	chr7	65112793	65171347	transcribed_unprocessed_pseudogene
9ebiH6	ENST00000433265	chr5	180690634	180691230	antisense
4s6pH1	ENST00000433433	chr2	105481954	105488910	antisense
2ag7H4	ENST00000433544	chr1	94218479	94241000	sense_intronic
cqwjH1	ENST00000433698	chr9	95599107	95599950	processed_pseudogene
2ytsH1	ENST00000433734	chr1	229228561	229230652	lincRNA
cgmnH1	ENST00000433735	chr9	97885802	97886150	processed_pseudogene
fh5eH4	ENST00000433775	chr13	52172551	52173596	processed_pseudogene
fh5eH5	ENST00000433775	chr13	52172551	52173596	processed_pseudogene
56vwH5	ENST00000433933	chr2	197124837	197128928	antisense
ci82H1	ENST00000434051	chr9	115875352	115882208	lincRNA
iwrkH3	ENST00000434052	chr19	58816742	58818000	retained_intron
d2l6H1	ENST00000434147	chr10	75573275	75574495	antisense
09soH1	ENST00000434233	chr1	22351680	22357396	lincRNA
b9x0H1	ENST00000434569	chr7	111051374	111051939	processed_pseudogene
4s6pH2	ENST00000434764	chr2	105486303	105489053	antisense
0dyrH1	ENST00000434805	chr1	35816322	35817208	processed_pseudogene
ee5bH1	ENST00000435241	chr11	77445519	77446071	processed_pseudogene
c1ztH1	ENST00000435260	chr8	56962596	56963766	processed_pseudogene
jsksH2	ENST00000435315	chr21	16134030	16135411	lincRNA
33qgH1	ENST00000435390	chr1	244558277	244558962	transcribed_processed_pseudogene
2aykH2	ENST00000435559	chr1	95086706	95089740	lincRNA
cp2xH1	ENST00000435586	chr9	44401765	44404440	lincRNA
dbdbH1	ENST00000435712	chr10	131904309	131906745	processed_pseudogene
jetaH6	ENST00000435844	chr20	18548063	18550207	lincRNA
7tv3H1	ENST00000436268	chr4	164853677	164854334	processed_pseudogene
kbqlH1	ENST00000436520	chrX	33059511	33059838	processed_pseudogene
jkj9H1	ENST00000436669	chr20	5273033	5273477	processed_pseudogene
kjxgH1	ENST00000436893	chrX	38660820	38663136	antisense
jwnbH8	ENST00000436996	chr22	28315424	28318558	retained_intron
jwnbH6	ENST00000436996	chr22	28315424	28318558	retained_intron
5us9H1	ENST00000437254	chr3	101133090	101133477	processed_pseudogene
jujiH2	ENST00000437258	chr21	45225638	45230212	antisense
8pawH1	ENST00000437639	chr5	37209465	37212483	processed_pseudogene
2v5xH1	ENST00000437764	chr1	210404800	210407389	antisense
1zeoH1	ENST00000437890	chr1	53237865	53238320	processed_pseudogene
bidmH1	ENST00000438081	chr7	65888391	65888880	processed_pseudogene
0fpfH2	ENST00000438210	chr1	40428351	40429076	processed_pseudogene
6as2H1	ENST00000438353	chr3	183833139	183835686	transcribed_processed_pseudogene
jifnH1	ENST00000438675	chr20	52037737	52038195	processed_pseudogene
cwydH1	ENST00000438753	chr10	2543974	2609431	lincRNA
6ku8H1	ENST00000438872	chr3	48481761	48488036	antisense
aed4H1	ENST00000438877	chr6	90383187	90385502	antisense
fh6sH1	ENST00000439042	chr13	52540877	52541285	processed_pseudogene
0tgdH1	ENST00000439332	chr1	144300514	144340736	lincRNA
28tsH1	ENST00000439531	chr1	89569967	89570450	processed_pseudogene
cswfH1	ENST00000439875	chr9	115865617	115873753	lincRNA
ag8pH1	ENST00000440246	chr6	132411672	132420366	lincRNA
afdzH16	ENST00000440395	chr6	111805854	111897793	antisense
jr8dH3	ENST00000440629	chr21	38593719	38610045	lincRNA
ffkvH1	ENST00000440633	chr13	31456687	31457532	lincRNA
7dkiH1	ENST00000440713	chr3	197786120	197790893	retained_intron
aexwH1	ENST00000441184	chr6	108444836	108480596	lincRNA
ejqcH2	ENST00000441285	chr12	7026492	7027314	retained_intron
ad5xH1	ENST00000441363	chr6	73973081	74011124	antisense
kh0dH1	ENST00000441399	chrX	131352534	131566890	antisense
bkxsH1	ENST00000441882	chr7	100657600	100660889	antisense
19twH1	ENST00000441932	chr1	201487830	201499602	lincRNA
bidqH1	ENST00000442005	chr7	65899620	65900141	processed_pseudogene
k1zlH2	ENST00000442739	chr22	21357183	21363742	transcribed_unprocessed_pseudogene
8x41H1	ENST00000442824	chr5	97549105	97549825	processed_pseudogene
i9orH2	ENST00000443037	chr17	70106318	70106865	lincRNA
2tj0H3	ENST00000443294	chr1	202820955	202830736	processed_transcript
d3tqH1	ENST00000443311	chr10	87365149	87366263	antisense
aaouH6	ENST00000443316	chr6	36410788	36411500	processed_transcript
fl6rH2	ENST00000443576	chr13	33907815	33909414	lincRNA
cjz7H9	ENST00000443631	chr9	131486723	131495473	antisense
cjz7H2	ENST00000443631	chr9	131486723	131495473	antisense
0jxqH1	ENST00000444290	chr1	62504513	62504783	processed_pseudogene
5hvxH4	ENST00000444332	chr3	5163976	5212622	retained_intron
ejf2H1	ENST00000444814	chr12	6495005	6496742	retained_intron
fioeH1	ENST00000444865	chr13	107029139	107029993	lincRNA
k6tdH1	ENST00000445088	chr22	37748229	37750879	lincRNA
cwhzH1	ENST00000445357	chr9	139707239	139709988	processed_pseudogene
74fuH1	ENST00000445466	chr3	151985972	151987335	antisense
jx5wH3	ENST00000445477	chr22	31955468	31955925	processed_pseudogene
1n6dH1	ENST00000445689	chr1	16695644	16696025	processed_pseudogene
g3y1H1	ENST00000445822	chr14	66479547	66480507	processed_pseudogene
0vjfH1	ENST00000446084	chr1	151730134	151730918	processed_pseudogene
bgarH2	ENST00000446246	chr7	29239155	29248586	antisense
1rg5H1	ENST00000446498	chr1	26781143	26781678	processed_pseudogene
kbriH1	ENST00000447155	chrX	36229212	36229752	processed_pseudogene
7vhaH1	ENST00000447277	chr4	186587038	186596571	antisense
ki0aH10	ENST00000447375	chrX	153063078	153063953	retained_intron
18igH1	ENST00000447479	chr1	197704765	197705237	processed_pseudogene
0cbpH6	ENST00000447507	chr1	28832554	28834782	retained_intron
kjrrH1	ENST00000447718	chrX	24806508	24807186	processed_pseudogene
azodH2	ENST00000448056	chr7	26479878	26533734	lincRNA
kbu6H1	ENST00000448797	chrX	37853596	37854043	processed_pseudogene
jru1H1	ENST00000448927	chr21	45751116	45755734	antisense
jm1lH1	ENST00000449115	chr20	33063728	33064279	processed_pseudogene
dmxgH1	ENST00000449248	chr11	1781577	1783716	antisense
d326H2	ENST00000449852	chr10	79687129	79689582	antisense
cdmtH1	ENST00000450093	chr9	32551770	32552996	antisense
bgjmH1	ENST00000450133	chr7	32956426	32982650	transcribed_unprocessed_pseudogene
hvo3H1	ENST00000450587	chr17	15607545	15608214	processed_pseudogene
00qzH2	ENST00000451054	chr1	999897	1001821	processed_transcript
hswkH1	ENST00000451056	chr17	1761332	1761740	processed_pseudogene
4kshH1	ENST00000451515	chr2	61165338	61165739	processed_pseudogene
ejsvH5	ENST00000451846	chr12	7080097	7084063	retained_intron
almoH4	ENST00000452229	chr6	30024529	30028756	antisense
b4vyH1	ENST00000452320	chr7	79088020	79096786	retained_intron
7dimH1	ENST00000452862	chr3	197577270	197577825	processed_pseudogene
bg2sH1	ENST00000453115	chr7	27497781	27498468	processed_pseudogene
3ayhH2	ENST00000453289	chr2	27580006	27581057	antisense
3mhaH1	ENST00000453322	chr2	105320215	105321967	lincRNA
08hmH1	ENST00000453554	chr1	17198778	17200539	lincRNA
fmteH1	ENST00000454280	chr13	52482353	52484757	processed_pseudogene
07dhH1	ENST00000454346	chr1	15931091	15931538	processed_pseudogene
dahrH1	ENST00000454541	chr10	121397967	121398594	processed_pseudogene
d7afH2	ENST00000454935	chr10	102133371	102143125	processed_transcript
3scuH1	ENST00000455248	chr2	159276466	159281815	unprocessed_pseudogene
h3emH1	ENST00000455294	chr16	698472	699200	antisense
0verH1	ENST00000455503	chr1	151319442	151320503	antisense
7bv5H1	ENST00000455557	chr3	194217045	194222232	sense_overlapping
kfniH2	ENST00000455723	chrX	103173769	103187485	processed_transcript
4ixmH1	ENST00000456046	chr2	47917854	47918385	processed_pseudogene
6fcnH1	ENST00000456186	chr3	15416879	15417152	processed_pseudogene
b6x6H1	ENST00000456357	chr7	97881690	97920836	processed_transcript
4jraH1	ENST00000456363	chr2	54888147	54889929	antisense
bbs3H1	ENST00000456481	chr7	137406730	137407592	processed_pseudogene
0oflH2	ENST00000456582	chr1	95426880	95428826	antisense
ccxzH1	ENST00000456802	chr9	15588352	15588613	processed_pseudogene
b9txH1	ENST00000457119	chr7	108150676	108151420	processed_pseudogene
16miH9	ENST00000457455	chr1	184023494	184024203	retained_intron
5nkkH1	ENST00000457554	chr3	40803035	40803290	processed_pseudogene
3ngcH1	ENST00000458252	chr2	111368492	111369981	antisense
3q7xH1	ENST00000458407	chr2	133110294	133110891	processed_pseudogene
5le2H1	ENST00000458542	chr3	25790978	25791387	processed_pseudogene
ayrnH1	ENST00000458624	chr7	8301862	8302451	antisense
azy5H4	ENST00000459629	chr7	32535132	32578881	processed_transcript
bascH5	ENST00000459680	chr7	127229098	127229885	retained_intron
0lvlH20	ENST00000459697	chr1	76259066	76260519	processed_transcript
0wy2H3	ENST00000459707	chr1	156761167	156764596	retained_intron
axxhH3	ENST00000459810	chr7	891828	892539	retained_intron
fha4H6	ENST00000459902	chr13	53047669	53049277	retained_intron
k6apH2	ENST00000459960	chr22	36691557	36693369	retained_intron
b99lH1	ENST00000460021	chr7	102994365	103002914	retained_intron
azrzH5	ENST00000460059	chr7	27868318	27872770	processed_transcript
3868H1	ENST00000460096	chr2	11922489	11924439	retained_intron
iuggH2	ENST00000460125	chr19	49421632	49422405	retained_intron
b8bzH7	ENST00000460194	chr7	100482374	100483208	retained_intron
clonH4	ENST00000460340	chr9	139873294	139874000	processed_transcript
dncuH2	ENST00000460454	chr11	5711050	5718243	retained_intron
dchzH1	ENST00000460569	chr10	12077057	12085169	processed_transcript
0lhkH1	ENST00000460575	chr1	68150911	68152271	processed_transcript
0z1rH3	ENST00000460632	chr1	165600473	165606386	processed_transcript
5sz1H1	ENST00000460833	chr3	64670584	64788401	antisense
0i6qH4	ENST00000460947	chr1	46775592	46782448	processed_transcript
674pH11	ENST00000461058	chr3	159557726	159604165	retained_intron
85cgH1	ENST00000461060	chr4	62641166	62641568	processed_pseudogene
cjloH3	ENST00000461102	chr9	131092690	131096347	processed_transcript
jg06H4	ENST00000461405	chr20	34359933	34389894	retained_intron
jiyrH2	ENST00000461411	chr20	60772270	60773909	processed_transcript
7726H1	ENST00000461430	chr3	168838675	168840460	retained_intron
0vanH2	ENST00000461434	chr1	151227233	151235386	retained_intron
0wixH5	ENST00000461479	chr1	155657750	155659128	processed_transcript
em6hH2	ENST00000461620	chr12	48172137	48172976	processed_transcript
8yt3H1	ENST00000461663	chr5	116051938	116052346	processed_pseudogene
3x8fH9	ENST00000461714	chr2	192272383	192273799	retained_intron
aniuH1	ENST00000461743	chr6	33231324	33231999	retained_intron
6cqxH1	ENST00000461791	chr3	196366627	196381864	retained_intron
3k9mH1	ENST00000461845	chr2	85822847	85824139	retained_intron
0cngH2	ENST00000462032	chr1	29424098	29436250	processed_transcript
41uhH26	ENST00000462034	chr2	219103441	219104285	processed_transcript
5nh0H4	ENST00000462088	chr3	40351212	40353005	retained_intron
0egeH3	ENST00000462118	chr1	36637568	36639080	retained_intron
firyH3	ENST00000462309	chr13	111082397	111083230	processed_transcript
3pvhH7	ENST00000462321	chr2	131130180	131132106	retained_intron
60hqH4	ENST00000462495	chr3	133486875	133489800	retained_intron
5rxcH1	ENST00000462517	chr3	57927544	57928031	processed_pseudogene
ivu4H2	ENST00000462541	chr19	54963168	54964802	retained_intron
3j1yH4	ENST00000462551	chr2	74154019	74174258	processed_transcript
cggnH1	ENST00000462595	chr9	96029301	96030097	processed_transcript
cxhpH1	ENST00000462760	chr10	7830121	7838551	processed_transcript
k6jmH1	ENST00000462794	chr22	36912109	36912970	retained_intron
akv8H3	ENST00000462823	chr6	25127773	25138557	processed_transcript
0vneH7	ENST00000462880	chr1	153631189	153634305	processed_transcript
4lrhH8	ENST00000462944	chr2	63816118	63818108	processed_transcript
b1iqH7	ENST00000463014	chr7	44246931	44248179	retained_intron
ay8iH12	ENST00000463026	chr7	2403958	2406378	retained_intron
133qH1	ENST00000463079	chr1	178425609	178427042	retained_intron
fpxiH3	ENST00000463119	chr14	21960255	21960971	retained_intron
abl2H2	ENST00000463168	chr6	43040625	43041385	retained_intron
cllyH11	ENST00000463215	chr9	139744230	139745474	processed_transcript
0yfrH3	ENST00000463365	chr1	161722188	161723196	retained_intron
br7rH2	ENST00000463457	chr8	25249404	25253338	retained_intron
3sqoH5	ENST00000463502	chr2	161993476	162036596	processed_transcript
cltkH5	ENST00000463511	chr9	140083150	140084375	processed_transcript
g6ybH1	ENST00000463521	chr14	78149544	78150332	processed_pseudogene
agngH1	ENST00000463637	chr6	142723914	142725383	retained_intron
5oluH2	ENST00000463659	chr3	45754687	45761057	retained_intron
0xymH8	ENST00000463735	chr1	161123846	161127250	processed_transcript
0uxvH1	ENST00000463774	chr1	150898780	150900705	retained_intron
kbz9H2	ENST00000463829	chrX	41047318	41049175	retained_intron
ddxxH1	ENST00000464001	chr10	33218859	33221645	retained_intron
jyzpH1	ENST00000464119	chr22	42271434	42273370	retained_intron
0oeqH20	ENST00000464165	chr1	94979029	94984052	processed_transcript
3bhxH9	ENST00000464273	chr2	28974876	29000127	retained_intron
5ntfH2	ENST00000464315	chr3	42675128	42676549	retained_intron
jiseH2	ENST00000464363	chr20	57556329	57561816	retained_intron
3jdlH1	ENST00000464417	chr2	74740742	74741479	retained_intron
a87hH4	ENST00000464526	chr6	31553970	31556686	retained_intron
a87hH2	ENST00000464526	chr6	31553970	31556686	retained_intron
a87hH3	ENST00000464526	chr6	31553970	31556686	retained_intron
aicgH6	ENST00000464636	chr6	160431369	160445725	retained_intron
6btyH1	ENST00000464827	chr3	186760895	186769327	retained_intron
3qcrH1	ENST00000464932	chr2	135676412	135677932	retained_intron
0z1kH1	ENST00000465089	chr1	164781964	164819594	retained_intron
3k34H4	ENST00000465151	chr2	85766290	85768577	retained_intron
b6lzH22	ENST00000465184	chr7	94294046	94298492	processed_transcript
3jmoH6	ENST00000465242	chr2	75186132	75196850	processed_transcript
5nhkH3	ENST00000465325	chr3	40498793	40500107	retained_intron
j5euH1	ENST00000465389	chr19	22551400	22551754	processed_pseudogene
bo1bH1	ENST00000465466	chr7	140395135	140396877	antisense
6c7oH2	ENST00000465496	chr3	190231884	190236819	processed_transcript
dxmiH1	ENST00000465511	chr11	118431404	118432295	processed_pseudogene
3gusH6	ENST00000465515	chr2	64083042	64085105	retained_intron
hi6jH4	ENST00000465567	chr17	15927931	15932100	retained_intron
cdnjH27	ENST00000465677	chr9	33034257	33037330	processed_transcript
0hp3H2	ENST00000465678	chr1	45480218	45481077	processed_transcript
0hp3H4	ENST00000465678	chr1	45480218	45481077	processed_transcript
d7k5H1	ENST00000465807	chr10	102826055	102827888	processed_transcript
3thpH4	ENST00000465871	chr2	170663345	170665176	retained_intron
5hkxH2	ENST00000465998	chr3	3168637	3171180	retained_intron
bacnH4	ENST00000466023	chr7	116502657	116514344	processed_transcript
hiodH2	ENST00000466106	chr17	18831580	18834581	retained_intron
khzpH1	ENST00000466243	chrX	152956572	152957537	processed_transcript
69qtH1	ENST00000466287	chr3	179094709	179095220	retained_intron
bbmpH4	ENST00000466307	chr7	134832946	134837885	processed_transcript
awzrH1	ENST00000466349	chr6	155632310	155635561	processed_transcript
jdosH7	ENST00000466415	chr20	2846556	2847378	processed_transcript
d6cpH5	ENST00000466552	chr10	96328951	96334205	retained_intron
fiesH3	ENST00000466555	chr13	100192764	100193990	processed_transcript
65ezH11	ENST00000466565	chr3	152016770	152018016	processed_transcript
3fusH1	ENST00000466608	chr2	55197790	55199157	processed_transcript
ayg6H1	ENST00000466622	chr7	5024538	5028999	processed_transcript
1haeH1	ENST00000466626	chr1	237963328	237965675	processed_transcript
5tu5H3	ENST00000466696	chr3	87302198	87303063	retained_intron
b7jhH6	ENST00000466798	chr7	99013756	99015744	retained_intron
ffa2H5	ENST00000466831	chr13	24734860	24798936	retained_intron
5pi5H14	ENST00000466850	chr3	48960193	48965389	retained_intron
jygdH5	ENST00000466863	chr22	40742521	40746327	retained_intron
jiylH2	ENST00000466933	chr20	60758084	60769109	processed_transcript
