TE,nORF,Class,Family,r_s,p_s,r_p,p_p
chr1:201488745:201489055:AluSq2,tracer74984,SINE,Alu,0.756464818,8.08E-76,0.810968883,5.59E-101
chr1:204420987:204421083:MIRb,3wobH2,SINE,MIR,0.76151886,2.03E-77,0.826871256,2.73E-108
chr1:204458682:204459026:L3,3wobH2,LINE,CR1,0.763267363,5.75E-78,0.826239623,5.50E-108
chr1:204420987:204421083:MIRb,ahqxH1,SINE,MIR,0.738448309,1.93E-70,0.811806092,2.40E-101
chr1:204421780:204422087:AluJr,ahqxH1,SINE,Alu,0.785442701,1.67E-85,0.836806846,3.00E-113
chr1:204458682:204459026:L3,ahqxH1,LINE,CR1,0.739611871,9.41E-71,0.808796062,4.93E-100
chr1:204420987:204421083:MIRb,0z1rH3,SINE,MIR,0.754600839,3.03E-75,0.809260366,3.10E-100
chr1:204421780:204422087:AluJr,0z1rH3,SINE,Alu,0.782694327,1.44E-84,0.829825224,9.89E-110
chr1:204420987:204421083:MIRb,5sz1H1,SINE,MIR,0.799130157,2.74E-90,0.804373825,3.79E-98
chr1:204458682:204459026:L3,5sz1H1,LINE,CR1,0.791339118,1.79E-87,0.803386685,9.85E-98
chr1:204421780:204422087:AluJr,gwiwH1,SINE,Alu,0.743540452,7.31E-72,0.803718308,7.16E-98
chr1:203149262:203149337:MIRb,7ellH2,SINE,MIR,0.774587329,1.11E-81,0.940809355,8.20E-202
chr1:203151558:203151785:MIRc,7ellH2,SINE,MIR,0.727439276,2.36E-67,0.959309338,1.57E-235
chr1:204420987:204421083:MIRb,7efkH1,SINE,MIR,0.769573932,5.60E-80,0.816356105,2.24E-103
chr1:204421780:204422087:AluJr,7efkH1,SINE,Alu,0.755865513,1.27E-75,0.818718035,1.88E-104
chr1:204458682:204459026:L3,7efkH1,LINE,CR1,0.765730587,1.04E-78,0.811161919,4.60E-101
chr1:204406688:204407175:L2,8nwmH4,LINE,L2,0.724556267,1.39E-66,0.802089491,3.43E-97
chr1:204420987:204421083:MIRb,8nwmH4,SINE,MIR,0.73576524,1.05E-69,0.816044569,3.10E-103
chr1:204421780:204422087:AluJr,8nwmH4,SINE,Alu,0.759669737,7.69E-77,0.834206263,6.41E-112
chr1:204420987:204421083:MIRb,tracer69487,SINE,MIR,0.746631495,9.07E-73,0.832505784,4.61E-111
chr1:204421780:204422087:AluJr,tracer69487,SINE,Alu,0.728089647,1.59E-67,0.804764907,2.60E-98
chr1:204458682:204459026:L3,tracer69487,LINE,CR1,0.736050312,8.94E-70,0.817817677,4.86E-104
chr1:204458682:204459026:L3,tracer74984,LINE,CR1,0.739418586,1.03E-70,0.80193067,3.99E-97
chr1:205486570:205487518:L2a,3wobH2,LINE,L2,0.80635244,6.18E-95,0.843052914,1.53E-116
chr1:205498855:205499067:MIR,3wobH2,SINE,MIR,0.84234779,2.21E-111,0.867650116,4.63E-131
chr1:205632844:205633046:MIR,3wobH2,SINE,MIR,0.800968135,9.82E-93,0.830224903,6.28E-110
chr1:205486570:205487518:L2a,avkdH1,LINE,L2,0.811821781,3.67E-97,0.809494619,2.45E-100
chr1:205492803:205493021:MIR,avkdH1,SINE,MIR,0.80359038,8.48E-94,0.79741019,2.84E-95
chr1:205486570:205487518:L2a,0z1rH3,LINE,L2,0.800139122,2.11E-92,0.832759836,3.44E-111
chr1:205632844:205633046:MIR,0z1rH3,SINE,MIR,0.802693364,1.93E-93,0.823385654,1.26E-106
chr1:205633359:205633419:L2b,0z1rH3,LINE,L2,0.808043958,1.35E-95,0.819918864,5.26E-105
chr1:205015002:205015060:L3,5sz1H1,LINE,CR1,0.821669886,2.05E-101,0.816657693,1.64E-103
chr1:205024777:205024986:MIR,5sz1H1,SINE,MIR,0.881469297,2.33E-135,0.86651345,2.51E-130
chr1:205026608:205026769:L2c,5sz1H1,LINE,L2,0.841558268,5.19E-111,0.839543457,1.13E-114
chr1:205031947:205032172:MIR,5sz1H1,SINE,MIR,0.82449827,1.06E-102,0.815442305,5.79E-103
chr1:205036773:205037085:AluSx,5sz1H1,SINE,Alu,0.815096185,1.48E-98,0.815690797,4.47E-103
chr1:205037687:205037918:MIRb,5sz1H1,SINE,MIR,0.858549181,2.74E-120,0.852143514,1.34E-121
chr1:205039843:205040142:AluSx,5sz1H1,SINE,Alu,0.838093676,2.60E-109,0.840407342,3.95E-115
chr1:205478580:205478756:MIRb,5sz1H1,SINE,MIR,0.810468141,1.27E-96,0.814097274,2.32E-102
chr1:205478926:205479223:AluSx1,5sz1H1,SINE,Alu,0.823379684,3.40E-102,0.823210244,1.53E-106
chr1:205479803:205479939:MIR3,5sz1H1,SINE,MIR,0.816198586,4.89E-99,0.812893376,7.94E-102
chr1:205480900:205481181:AluSx,5sz1H1,SINE,Alu,0.820567345,5.52E-101,0.817335701,8.05E-104
chr1:205482124:205482424:L3b,5sz1H1,LINE,CR1,0.854363657,6.69E-118,0.850678226,9.25E-121
chr1:205486570:205487518:L2a,5sz1H1,LINE,L2,0.840837271,1.03E-110,0.840258673,4.74E-115
chr1:205496165:205496279:MIRc,5sz1H1,SINE,MIR,0.829275022,5.92E-105,0.835304528,1.77E-112
chr1:205496327:205496628:AluJb,5sz1H1,SINE,Alu,0.817096235,1.99E-99,0.832017969,8.09E-111
chr1:205498855:205499067:MIR,5sz1H1,SINE,MIR,0.892919028,5.28E-144,0.890895748,9.35E-148
chr1:205632844:205633046:MIR,5sz1H1,SINE,MIR,0.896948605,4.77E-147,0.864315262,6.29E-129
chr1:205633359:205633419:L2b,5sz1H1,LINE,L2,0.846940288,9.29E-114,0.81060304,8.08E-101
chr1:205644144:205644602:MER39,5sz1H1,LTR,ERV1,0.834115027,2.64E-107,0.818707331,1.90E-104
chr1:205024777:205024986:MIR,0wq0H6,SINE,MIR,0.820650423,5.28E-101,0.843913265,5.26E-117
chr1:205037687:205037918:MIRb,0wq0H6,SINE,MIR,0.82145778,2.33E-101,0.844979696,1.38E-117
chr1:205632844:205633046:MIR,0wq0H6,SINE,MIR,0.811438345,5.24E-97,0.844623906,2.16E-117
chr1:205024777:205024986:MIR,7efkH1,SINE,MIR,0.826121737,1.89E-103,0.85525265,2.09E-123
chr1:205026608:205026769:L2c,7efkH1,LINE,L2,0.804877403,2.55E-94,0.839300529,1.51E-114
chr1:205031947:205032172:MIR,7efkH1,SINE,MIR,0.807762956,1.74E-95,0.846824933,1.34E-118
chr1:205037687:205037918:MIRb,7efkH1,SINE,MIR,0.810599001,1.15E-96,0.839426933,1.30E-114
chr1:205486570:205487518:L2a,7efkH1,LINE,L2,0.803544108,8.68E-94,0.836880357,2.75E-113
chr1:205498855:205499067:MIR,7efkH1,SINE,MIR,0.845843253,3.21E-113,0.863033772,4.01E-128
chr1:205632844:205633046:MIR,7efkH1,SINE,MIR,0.840871967,1.03E-110,0.858717569,1.80E-125
chr1:205633359:205633419:L2b,7efkH1,LINE,L2,0.811177805,6.61E-97,0.835008329,2.51E-112
chr1:205498855:205499067:MIR,8nwmH4,SINE,MIR,0.81038124,1.35E-96,0.847114062,9.27E-119
chr1:205632844:205633046:MIR,8nwmH4,SINE,MIR,0.806927511,3.77E-95,0.854856186,3.58E-123
chr1:205633359:205633419:L2b,8nwmH4,LINE,L2,0.806497335,5.62E-95,0.856673151,3.02E-124
chr1:205486570:205487518:L2a,tracer69487,LINE,L2,0.807401665,2.42E-95,0.859374748,7.19E-126
chr1:205498855:205499067:MIR,tracer69487,SINE,MIR,0.82154667,2.22E-101,0.866824119,1.58E-130
chr1:205024777:205024986:MIR,tracer10022,SINE,MIR,0.804161725,4.99E-94,0.819414628,9.00E-105
chr1:205037687:205037918:MIRb,tracer10022,SINE,MIR,0.833798717,3.55E-107,0.840884746,2.21E-115
chr1:205478926:205479223:AluSx1,tracer10022,SINE,Alu,0.806351977,6.18E-95,0.82719571,1.90E-108
chr1:205486570:205487518:L2a,tracer10022,LINE,L2,0.812909015,1.26E-97,0.831479797,1.50E-110
chr1:205498855:205499067:MIR,tracer10022,SINE,MIR,0.817651273,1.16E-99,0.831879222,9.49E-111
chr1:205632844:205633046:MIR,tracer10022,SINE,MIR,0.813548833,6.76E-98,0.815301831,6.69E-103
chr1:205024777:205024986:MIR,tracer11791,SINE,MIR,0.813919521,4.79E-98,0.822828026,2.31E-106
chr1:205017872:205017965:L2a,3wobH2,LINE,L2,0.756525963,5.04E-77,0.810937049,5.77E-101
chr1:205024777:205024986:MIR,3wobH2,SINE,MIR,0.779249728,1.33E-84,0.83463594,3.88E-112
chr1:205031947:205032172:MIR,3wobH2,SINE,MIR,0.768778627,5.26E-81,0.815072883,8.48E-103
chr1:205037687:205037918:MIRb,3wobH2,SINE,MIR,0.776390995,1.33E-83,0.811506711,3.25E-101
chr1:205476342:205476477:MIRb,3wobH2,SINE,MIR,0.761973829,9.28E-79,0.82003293,4.66E-105
chr1:205477739:205477979:AluJo,3wobH2,SINE,Alu,0.741238761,2.31E-72,0.806827171,3.46E-99
chr1:205479803:205479939:MIR3,3wobH2,SINE,MIR,0.769556236,2.86E-81,0.817545253,6.46E-104
chr1:205480900:205481181:AluSx,3wobH2,SINE,Alu,0.757225905,3.10E-77,0.811745629,2.55E-101
chr1:205481511:205481567:L2a,3wobH2,LINE,L2,0.767091903,1.92E-80,0.81798346,4.08E-104
chr1:205482124:205482424:L3b,3wobH2,LINE,CR1,0.784227812,2.23E-86,0.811070994,5.04E-101
chr1:205484854:205484963:L4,3wobH2,LINE,RTE,0.77143711,6.86E-82,0.819638477,7.09E-105
chr1:205490240:205490335:L2b,3wobH2,LINE,L2,0.740763516,3.15E-72,0.80985056,1.72E-100
chr1:205492803:205493021:MIR,3wobH2,SINE,MIR,0.779303676,1.30E-84,0.831070928,2.40E-110
chr1:205496165:205496279:MIRc,3wobH2,SINE,MIR,0.761766709,1.08E-78,0.814978664,9.35E-103
chr1:205633359:205633419:L2b,3wobH2,LINE,L2,0.795437048,1.55E-90,0.830922324,2.84E-110
chr1:205644144:205644602:MER39,3wobH2,LTR,ERV1,0.767521914,1.39E-80,0.823550707,1.05E-106
chr1:205645588:205645749:MIRb,3wobH2,SINE,MIR,0.736465987,5.49E-71,0.803359913,1.01E-97
chr1:205498855:205499067:MIR,avkdH1,SINE,MIR,0.798779069,7.32E-92,0.809885569,1.66E-100
chr1:205024777:205024986:MIR,ahqxH1,SINE,MIR,0.753878102,3.48E-76,0.812531882,1.15E-101
chr1:205029097:205029310:MIR,ahqxH1,SINE,MIR,0.743433902,5.20E-73,0.80859453,6.02E-100
chr1:205031947:205032172:MIR,ahqxH1,SINE,MIR,0.774787101,4.81E-83,0.819218123,1.11E-104
chr1:205037687:205037918:MIRb,ahqxH1,SINE,MIR,0.773306917,1.57E-82,0.810281805,1.12E-100
chr1:205476342:205476477:MIRb,ahqxH1,SINE,MIR,0.75538473,1.16E-76,0.805860969,8.91E-99
chr1:205480900:205481181:AluSx,ahqxH1,SINE,Alu,0.756766738,4.36E-77,0.800404759,1.70E-96
chr1:205486570:205487518:L2a,ahqxH1,LINE,L2,0.769365696,3.31E-81,0.812048419,1.88E-101
chr1:205490240:205490335:L2b,ahqxH1,LINE,L2,0.745640256,1.15E-73,0.801388861,6.69E-97
chr1:205492803:205493021:MIR,ahqxH1,SINE,MIR,0.743542148,4.85E-73,0.804497213,3.37E-98
chr1:205496165:205496279:MIRc,ahqxH1,SINE,MIR,0.756618306,4.80E-77,0.804378305,3.78E-98
chr1:205498855:205499067:MIR,ahqxH1,SINE,MIR,0.789764633,2.04E-88,0.82583195,8.64E-108
chr1:205633359:205633419:L2b,ahqxH1,LINE,L2,0.764966853,9.52E-80,0.806160627,6.65E-99
chr1:205026608:205026769:L2c,cwydH1,LINE,L2,0.761222951,1.62E-78,0.820186829,3.96E-105
chr1:205037687:205037918:MIRb,cwydH1,SINE,MIR,0.765930191,4.72E-80,0.806353707,5.50E-99
chr1:205632844:205633046:MIR,cwydH1,SINE,MIR,0.790596648,9.81E-89,0.838656292,3.29E-114
chr1:205026608:205026769:L2c,0z1rH3,LINE,L2,0.770382629,1.56E-81,0.804568288,3.14E-98
chr1:205029097:205029310:MIR,0z1rH3,SINE,MIR,0.765983187,4.56E-80,0.812671642,9.96E-102
chr1:205031947:205032172:MIR,0z1rH3,SINE,MIR,0.79136381,5.14E-89,0.822213834,4.49E-106
chr1:205037687:205037918:MIRb,0z1rH3,SINE,MIR,0.78292445,6.79E-86,0.810333414,1.06E-100
chr1:205476342:205476477:MIRb,0z1rH3,SINE,MIR,0.761594658,1.23E-78,0.803398791,9.74E-98
chr1:205478580:205478756:MIRb,0z1rH3,SINE,MIR,0.754422968,2.35E-76,0.805537953,1.22E-98
chr1:205496165:205496279:MIRc,0z1rH3,SINE,MIR,0.762069891,8.72E-79,0.80533251,1.49E-98
chr1:205498855:205499067:MIR,0z1rH3,SINE,MIR,0.792354248,2.20E-89,0.824321583,4.55E-107
chr1:205492803:205493021:MIR,5sz1H1,SINE,MIR,0.794278772,4.19E-90,0.805736157,1.01E-98
chr1:205026608:205026769:L2c,0wq0H6,LINE,L2,0.785987519,5.17E-87,0.830625816,3.98E-110
chr1:205039843:205040142:AluSx,0wq0H6,SINE,Alu,0.761019773,1.87E-78,0.801680737,5.06E-97
chr1:205482124:205482424:L3b,0wq0H6,LINE,CR1,0.787365992,1.62E-87,0.810831696,6.42E-101
chr1:205498855:205499067:MIR,0wq0H6,SINE,MIR,0.777683876,4.73E-84,0.80356586,8.29E-98
chr1:205644144:205644602:MER39,0wq0H6,LTR,ERV1,0.782071456,1.32E-85,0.82105724,1.56E-105
chr1:205037687:205037918:MIRb,fib2H7,SINE,MIR,0.788518885,6.01E-88,0.80246788,2.38E-97
